Transaction_ID,Date,Account_Type,Transaction_Amount,Cash_Flow,Net_Income,Revenue,Expenditure,Profit_Margin,Debt-to-Equity_Ratio,Operating_Expenses,Gross_Profit,Transaction_Volume,Processing_Time_seconds,Accuracy_Score,Missing_Data_Indicator,Normalized_Transaction_Amount,Transaction_Outcome,Month_Year,Month,Month_Num,Quarter,Year,DayOfWeek,Net_Profit,OpEx_Ratio,Success_Flag
21,2025-01-21,Revenue,1651,2079,518,2570,2781,0.322,0.809,1356,1061,7,1.9146,0.9187,0,0.3158,1,2025-01,January,1,1,2025,Tuesday,-211,0.5276,Success
22,2025-01-22,Expense,1358,3832,3694,326,2370,0.516,2.4776,3266,2250,3,0.8711,0.8852,0,0.2559,1,2025-01,January,1,1,2025,Wednesday,-2044,10.0184,Success
23,2025-01-23,Asset,1790,1459,1854,1302,167,0.3854,2.8734,4390,2503,2,1.4251,0.9463,0,0.3442,1,2025-01,January,1,1,2025,Thursday,1135,3.3717,Success
24,2025-01-24,Liability,758,1701,294,3482,943,0.7885,0.629,583,1300,2,1.9856,0.9805,0,0.1333,1,2025-01,January,1,1,2025,Friday,2539,0.1674,Success
25,2025-01-25,Revenue,2667,2109,1759,2582,1063,0.552,1.9752,1254,1224,5,1.0761,0.8106,0,0.5235,1,2025-01,January,1,1,2025,Saturday,1519,0.4857,Success
26,2025-01-26,Liability,1377,511,3759,3057,159,0.2951,2.8262,1415,244,3,1.6789,0.8834,0,0.2598,1,2025-01,January,1,1,2025,Sunday,2898,0.4629,Success
27,2025-01-27,Liability,2000,4341,2212,3250,1688,0.7783,2.5329,1358,3439,7,1.5528,0.8422,0,0.3872,1,2025-01,January,1,1,2025,Monday,1562,0.4178,Success
28,2025-01-28,Expense,3699,662,3438,4074,490,0.7321,0.8531,4912,1717,7,1.7937,0.847,0,0.7345,1,2025-01,January,1,1,2025,Tuesday,3584,1.2057,Success
29,2025-01-29,Revenue,157,4357,814,3210,805,0.7697,0.5977,4073,592,5,0.979,0.8329,0,0.0104,1,2025-01,January,1,1,2025,Wednesday,2405,1.2688,Success
30,2025-01-30,Liability,3956,4461,3913,2905,3148,0.6097,0.749,3624,1380,6,1.3251,0.8064,0,0.787,1,2025-01,January,1,1,2025,Thursday,-243,1.2475,Success
31,2025-01-31,Liability,229,3194,1290,1984,1173,0.654,1.5471,4640,571,2,1.5684,0.831,0,0.0251,1,2025-01,January,1,1,2025,Friday,811,2.3387,Success
32,2025-02-01,Revenue,1045,2588,1293,2942,3060,0.2545,1.3946,605,3220,4,1.5203,0.84,0,0.1919,1,2025-02,February,2,1,2025,Saturday,-118,0.2056,Success
33,2025-02-02,Liability,781,3675,1934,4296,1712,0.6849,2.7214,3352,1193,2,0.6834,0.8584,0,0.138,1,2025-02,February,2,1,2025,Sunday,2584,0.7803,Success
34,2025-02-03,Revenue,3879,1360,874,303,3883,0.658,2.1671,2531,1045,4,1.0074,0.8699,0,0.7713,1,2025-02,February,2,1,2025,Monday,-3580,8.3531,Success
35,2025-02-04,Revenue,888,578,2423,2372,1028,0.4911,2.6498,575,2453,4,1.1711,0.8142,0,0.1599,1,2025-02,February,2,1,2025,Tuesday,1344,0.2424,Success
36,2025-02-05,Revenue,603,1075,2082,4657,1538,0.2104,2.3928,4666,3643,9,1.8211,0.8436,0,0.1016,1,2025-02,February,2,1,2025,Wednesday,3119,1.0019,Success
37,2025-02-06,Expense,2392,2664,2591,2970,633,0.376,1.4265,2710,593,4,1.2068,0.8305,0,0.4673,1,2025-02,February,2,1,2025,Thursday,2337,0.9125,Success
38,2025-02-07,Asset,4671,570,2423,4452,314,0.2625,1.1849,4492,445,6,1.3144,0.9613,0,0.9332,1,2025-02,February,2,1,2025,Friday,4138,1.009,Success
39,2025-02-08,Revenue,2945,1118,1940,4490,3376,0.4969,1.8557,4557,1269,2,1.514,0.8552,0,0.5803,1,2025-02,February,2,1,2025,Saturday,1114,1.0149,Success
40,2025-02-09,Expense,1782,3524,1168,2668,3350,0.4459,0.5098,4558,363,6,1.4431,0.9376,0,0.3426,1,2025-02,February,2,1,2025,Sunday,-682,1.7084,Success
41,2025-02-10,Asset,308,2478,1504,4762,499,0.2948,1.9669,982,3149,3,0.8334,0.9901,0,0.0413,1,2025-02,February,2,1,2025,Monday,4263,0.2062,Success
42,2025-02-11,Revenue,451,3797,3078,4426,3255,0.5509,1.4486,2543,2542,1,1.0354,0.8195,0,0.0705,1,2025-02,February,2,1,2025,Tuesday,1171,0.5746,Success
43,2025-02-12,Asset,2513,2903,2391,3653,3517,0.7777,1.7699,3301,1805,5,1.7402,0.9769,0,0.492,1,2025-02,February,2,1,2025,Wednesday,136,0.9036,Success
44,2025-02-13,Liability,2391,3627,3704,2227,869,0.211,2.8417,3649,2745,2,1.9122,0.8401,0,0.4671,1,2025-02,February,2,1,2025,Thursday,1358,1.6385,Success
45,2025-02-14,Revenue,4123,745,1672,775,2185,0.6675,1.4321,842,193,3,1.2277,0.9915,0,0.8211,1,2025-02,February,2,1,2025,Friday,-1410,1.0865,Success
46,2025-02-15,Revenue,1096,3784,1742,616,3454,0.4613,0.6565,1239,2292,5,1.2172,0.9129,0,0.2024,1,2025-02,February,2,1,2025,Saturday,-2838,2.0114,Success
47,2025-02-16,Revenue,1877,4330,1131,4319,3859,0.77,2.0222,2173,3544,6,1.9153,0.8738,0,0.362,1,2025-02,February,2,1,2025,Sunday,460,0.5031,Success
48,2025-02-17,Expense,4154,2431,3950,2531,2872,0.41,1.7175,2835,1358,7,1.9314,0.9144,0,0.8275,1,2025-02,February,2,1,2025,Monday,-341,1.1201,Success
49,2025-02-18,Asset,3863,1086,2694,3524,1597,0.6208,2.1533,3863,429,9,0.767,0.8938,0,0.768,1,2025-02,February,2,1,2025,Tuesday,1927,1.0962,Success
50,2025-02-19,Expense,1554,2221,1433,4757,2171,0.6193,1.7677,3848,3934,8,0.617,0.9221,0,0.296,1,2025-02,February,2,1,2025,Wednesday,2586,0.8089,Success
51,2025-02-20,Revenue,1145,725,2919,3415,3984,0.6066,1.5176,103,3824,1,1.8978,0.8509,0,0.2124,1,2025-02,February,2,1,2025,Thursday,-569,0.0302,Success
52,2025-02-21,Asset,3035,1763,686,1899,3507,0.4185,1.6754,3504,1168,6,0.6967,0.806,0,0.5987,1,2025-02,February,2,1,2025,Friday,-1608,1.8452,Success
53,2025-02-22,Revenue,1583,3180,2808,3311,3756,0.3678,2.8917,3056,1901,4,0.9306,0.8922,0,0.3019,1,2025-02,February,2,1,2025,Saturday,-445,0.923,Success
54,2025-02-23,Asset,3223,1548,3669,3033,1624,0.6585,0.6723,4710,1865,5,0.5425,0.9644,0,0.6372,1,2025-02,February,2,1,2025,Sunday,1409,1.5529,Success
55,2025-02-24,Revenue,4713,713,2297,1132,3789,0.3708,2.1618,3187,2920,5,1.2545,0.9391,0,0.9417,1,2025-02,February,2,1,2025,Monday,-2657,2.8154,Success
56,2025-02-25,Revenue,518,1473,666,559,2191,0.4891,2.2787,1810,3558,6,1.2024,0.8284,0,0.0842,1,2025-02,February,2,1,2025,Tuesday,-1632,3.2379,Success
57,2025-02-26,Expense,633,1331,1753,3002,708,0.297,1.624,4507,1837,8,1.2949,0.8671,0,0.1077,1,2025-02,February,2,1,2025,Wednesday,2294,1.5013,Success
58,2025-02-27,Asset,1911,3807,2924,3687,2798,0.4107,2.11,1341,2096,3,1.4613,0.8375,0,0.369,1,2025-02,February,2,1,2025,Thursday,889,0.3637,Success
59,2025-02-28,Revenue,3846,3617,495,1572,957,0.4189,2.2614,1987,671,3,1.265,0.8856,1,0.7645,1,2025-02,February,2,1,2025,Friday,615,1.264,Success
60,2025-03-01,Expense,3068,1622,2919,2971,1480,0.7489,2.2652,1751,2380,5,1.5644,0.9382,0,0.6055,1,2025-03,March,3,1,2025,Saturday,1491,0.5894,Success
61,2025-03-02,Expense,1493,2546,2739,3939,1389,0.2996,2.6381,2311,2408,6,1.7233,0.8046,0,0.2835,1,2025-03,March,3,1,2025,Sunday,2550,0.5867,Success
62,2025-03-03,Revenue,2136,984,730,3561,3802,0.779,2.0245,2832,1003,5,1.5041,0.8145,0,0.415,1,2025-03,March,3,1,2025,Monday,-241,0.7953,Success
63,2025-03-04,Revenue,1822,1041,766,1769,1654,0.3108,1.2202,2532,3643,4,0.9085,0.8281,0,0.3508,1,2025-03,March,3,1,2025,Tuesday,115,1.4313,Success
64,2025-03-05,Liability,4441,3719,3403,1742,3055,0.752,0.7564,4126,3163,7,0.9671,0.8139,0,0.8861,1,2025-03,March,3,1,2025,Wednesday,-1313,2.3685,Success
65,2025-03-06,Expense,402,3247,3288,1052,1450,0.2138,1.9632,3291,1775,1,1.3123,0.841,0,0.0605,1,2025-03,March,3,1,2025,Thursday,-398,3.1283,Success
66,2025-03-07,Revenue,3397,3124,722,4461,261,0.3099,1.2773,111,2927,7,0.9972,0.9933,0,0.6727,0,2025-03,March,3,1,2025,Friday,4200,0.0249,Failure
67,2025-03-08,Asset,4636,536,2209,4062,1534,0.6173,2.3387,4383,252,3,0.906,0.9035,0,0.926,1,2025-03,March,3,1,2025,Saturday,2528,1.079,Success
68,2025-03-09,Revenue,2438,3692,2565,343,2311,0.5557,0.9013,3865,2257,5,0.9447,0.9221,0,0.4767,1,2025-03,March,3,1,2025,Sunday,-1968,11.2682,Success
69,2025-03-10,Liability,1140,2315,721,3037,1152,0.6112,1.5642,4081,303,6,0.9032,0.8911,0,0.2114,1,2025-03,March,3,1,2025,Monday,1885,1.3438,Success
70,2025-03-11,Asset,3488,557,3699,4184,2116,0.7537,2.1959,1058,966,5,1.2064,0.9701,0,0.6913,1,2025-03,March,3,1,2025,Tuesday,2068,0.2529,Success
71,2025-03-12,Expense,2983,3747,3140,3005,3370,0.2591,2.8894,4171,1314,8,1.71,0.9866,0,0.5881,1,2025-03,March,3,1,2025,Wednesday,-365,1.388,Success
72,2025-03-13,Liability,2101,1216,1500,1169,2448,0.7828,0.63,4167,1981,2,0.9616,0.8555,0,0.4078,1,2025-03,March,3,1,2025,Thursday,-1279,3.5646,Success
73,2025-03-14,Revenue,1672,3988,237,1658,2165,0.7293,1.3271,215,1660,7,1.1952,0.8687,0,0.3201,1,2025-03,March,3,1,2025,Friday,-507,0.1297,Success
74,2025-03-15,Revenue,1292,884,3759,2785,648,0.5122,1.2307,3036,538,2,0.6181,0.9311,0,0.2424,1,2025-03,March,3,1,2025,Saturday,2137,1.0901,Success
75,2025-03-16,Asset,2358,3775,1666,2650,880,0.6229,0.8807,1818,2490,1,1.0285,0.9361,1,0.4603,1,2025-03,March,3,1,2025,Sunday,1770,0.686,Success
76,2025-03-17,Liability,157,1956,1164,2890,755,0.5079,2.5495,4163,2652,3,0.6693,0.8339,0,0.0104,1,2025-03,March,3,1,2025,Monday,2135,1.4405,Success
77,2025-03-18,Liability,2463,1208,461,4228,1192,0.323,2.4256,454,3598,2,1.7347,0.8642,0,0.4818,1,2025-03,March,3,1,2025,Tuesday,3036,0.1074,Success
78,2025-03-19,Asset,4917,2063,1852,399,2549,0.4988,1.3624,357,1562,4,0.639,0.8336,1,0.9834,1,2025-03,March,3,1,2025,Wednesday,-2150,0.8947,Success
79,2025-03-20,Expense,1390,1884,1026,4725,2266,0.4291,1.749,136,3201,8,1.8686,0.9704,0,0.2625,1,2025-03,March,3,1,2025,Thursday,2459,0.0288,Success
80,2025-03-21,Asset,2857,1552,2432,4399,1432,0.3788,2.2174,3740,1551,6,0.9551,0.9364,0,0.5623,1,2025-03,March,3,1,2025,Friday,2967,0.8502,Success
81,2025-03-22,Asset,1468,3237,3275,866,3888,0.6509,0.7715,3694,1850,3,1.6185,0.8516,0,0.2784,0,2025-03,March,3,1,2025,Saturday,-3022,4.2656,Failure
82,2025-03-23,Asset,3313,1014,648,3617,900,0.7652,0.5408,3874,1222,6,1.6938,0.8836,0,0.6556,1,2025-03,March,3,1,2025,Sunday,2717,1.0711,Success
83,2025-03-24,Asset,755,2123,3727,2370,2058,0.7019,0.5493,1736,1655,4,0.9408,0.9071,0,0.1327,1,2025-03,March,3,1,2025,Monday,312,0.7325,Success
84,2025-03-25,Liability,1589,1847,485,3529,2580,0.4155,1.5567,1533,2619,5,1.8706,0.8595,0,0.3031,1,2025-03,March,3,1,2025,Tuesday,949,0.4344,Success
85,2025-03-26,Asset,4509,3443,969,2261,1724,0.4752,2.9606,649,264,8,1.3467,0.9737,0,0.9,1,2025-03,March,3,1,2025,Wednesday,537,0.287,Success
86,2025-03-27,Asset,1066,4020,420,2430,310,0.3957,2.6652,1370,2174,3,1.5065,0.8602,0,0.1962,1,2025-03,March,3,1,2025,Thursday,2120,0.5638,Success
87,2025-03-28,Expense,1322,1950,1021,4304,3347,0.35,0.5137,1731,757,5,1.4421,0.8284,0,0.2486,1,2025-03,March,3,1,2025,Friday,957,0.4022,Success
88,2025-03-29,Asset,1165,3764,3051,2581,2607,0.6375,2.2829,3135,671,2,1.6048,0.8929,0,0.2165,0,2025-03,March,3,1,2025,Saturday,-26,1.2146,Failure
89,2025-03-30,Revenue,720,811,3919,4158,3465,0.3374,2.3564,4820,1195,6,0.7118,0.8398,0,0.1255,1,2025-03,March,3,1,2025,Sunday,693,1.1592,Success
90,2025-03-31,Liability,2457,2138,1314,2488,1964,0.516,1.2264,741,384,5,0.8582,0.9077,0,0.4806,1,2025-03,March,3,1,2025,Monday,524,0.2978,Success
91,2025-04-01,Liability,3664,1791,781,4677,2630,0.6908,0.8824,4296,1408,4,1.7996,0.9947,0,0.7273,1,2025-04,April,4,2,2025,Tuesday,2047,0.9185,Success
92,2025-04-02,Asset,3294,4385,2875,2448,912,0.6472,2.2278,999,1953,9,0.6455,0.9404,0,0.6517,1,2025-04,April,4,2,2025,Wednesday,1536,0.4081,Success
93,2025-04-03,Revenue,841,2286,1057,4799,866,0.6217,2.2057,3955,2943,1,0.876,0.9167,0,0.1502,1,2025-04,April,4,2,2025,Thursday,3933,0.8241,Success
94,2025-04-04,Expense,1797,1127,2096,1532,1073,0.2055,0.9415,2460,332,7,1.9908,0.9132,0,0.3457,1,2025-04,April,4,2,2025,Friday,459,1.6057,Success
95,2025-04-05,Revenue,541,2268,769,3307,1680,0.492,2.1833,3734,3005,9,1.7479,0.95,0,0.0889,1,2025-04,April,4,2,2025,Saturday,1627,1.1291,Success
96,2025-04-06,Revenue,3200,4108,828,2628,2703,0.4976,2.2977,1101,178,7,1.9984,0.9603,0,0.6325,1,2025-04,April,4,2,2025,Sunday,-75,0.4189,Success
97,2025-04-07,Liability,4688,1993,1140,4882,2743,0.5533,2.9106,4592,2408,9,0.8799,0.888,0,0.9366,1,2025-04,April,4,2,2025,Monday,2139,0.9406,Success
98,2025-04-08,Liability,1260,2917,2307,1793,848,0.2114,1.2507,4095,3259,7,1.6067,0.8205,0,0.2359,1,2025-04,April,4,2,2025,Tuesday,945,2.2839,Success
99,2025-04-09,Liability,801,3339,571,1210,800,0.6514,2.7741,2773,985,6,1.7137,0.8163,0,0.1421,1,2025-04,April,4,2,2025,Wednesday,410,2.2917,Success
100,2025-04-10,Revenue,3964,1385,348,917,654,0.318,2.7672,762,776,2,1.9484,0.8319,0,0.7886,1,2025-04,April,4,2,2025,Thursday,263,0.831,Success
101,2025-04-11,Asset,4943,2588,3311,378,2052,0.4658,1.3454,129,1381,8,0.5524,0.8845,0,0.9888,1,2025-04,April,4,2,2025,Friday,-1674,0.3413,Success
102,2025-04-12,Revenue,3960,677,1694,1090,2313,0.4128,0.5722,2461,3374,3,1.3633,0.9805,0,0.7878,1,2025-04,April,4,2,2025,Saturday,-1223,2.2578,Success
103,2025-04-13,Liability,2156,1740,1399,3139,3741,0.2381,0.9521,3614,2129,3,1.3789,0.8972,0,0.4191,1,2025-04,April,4,2,2025,Sunday,-602,1.1513,Success
104,2025-04-14,Expense,4157,2360,3903,4885,1899,0.4508,1.8828,3722,1158,2,1.4595,0.98,0,0.8281,1,2025-04,April,4,2,2025,Monday,2986,0.7619,Success
105,2025-04-15,Liability,1636,2461,273,3597,278,0.6258,2.5347,1475,2590,3,1.8406,0.9449,0,0.3128,1,2025-04,April,4,2,2025,Tuesday,3319,0.4101,Success
106,2025-04-16,Expense,2488,3137,3932,910,3036,0.3191,2.0693,3181,1720,1,1.0145,0.954,0,0.4869,1,2025-04,April,4,2,2025,Wednesday,-2126,3.4956,Success
107,2025-04-17,Asset,808,2245,1141,1630,1490,0.29,1.6264,2090,1617,9,1.6732,0.9334,0,0.1435,1,2025-04,April,4,2,2025,Thursday,140,1.2822,Success
108,2025-04-18,Liability,833,2801,3960,574,3221,0.3547,1.6393,1367,3403,5,0.6148,0.8162,0,0.1486,1,2025-04,April,4,2,2025,Friday,-2647,2.3815,Success
109,2025-04-19,Liability,4977,4319,655,2483,907,0.4229,2.2872,2906,2344,8,0.5079,0.814,0,0.9957,1,2025-04,April,4,2,2025,Saturday,1576,1.1704,Success
110,2025-04-20,Revenue,3303,3394,1665,1776,3960,0.7518,2.6301,4632,458,8,1.8823,0.8502,0,0.6535,0,2025-04,April,4,2,2025,Sunday,-2184,2.6081,Failure
111,2025-04-21,Revenue,3680,1687,2284,4893,1496,0.417,2.0658,4417,2734,4,1.6446,0.9504,0,0.7306,1,2025-04,April,4,2,2025,Monday,3397,0.9027,Success
112,2025-04-22,Asset,341,1764,3823,4997,1337,0.4943,0.7944,3588,2352,3,0.675,0.9126,0,0.048,1,2025-04,April,4,2,2025,Tuesday,3660,0.718,Success
113,2025-04-23,Liability,1497,1542,356,4215,1221,0.6086,2.1524,188,3062,8,0.7555,0.8424,0,0.2843,1,2025-04,April,4,2,2025,Wednesday,2994,0.0446,Success
114,2025-04-24,Expense,4533,2813,1465,4530,1919,0.5684,1.7724,1698,3441,2,1.2483,0.8354,0,0.9049,1,2025-04,April,4,2,2025,Thursday,2611,0.3748,Success
115,2025-04-25,Expense,4398,2938,3773,1878,3229,0.221,1.3593,2119,813,9,1.9505,0.9244,0,0.8774,1,2025-04,April,4,2,2025,Friday,-1351,1.1283,Success
116,2025-04-26,Expense,1842,837,2242,4510,832,0.4894,2.2385,3064,1276,2,0.5759,0.9609,0,0.3549,1,2025-04,April,4,2,2025,Saturday,3678,0.6794,Success
117,2025-04-27,Liability,2361,862,3820,4185,3685,0.4793,2.8041,1692,3570,2,1.0171,0.8311,0,0.461,1,2025-04,April,4,2,2025,Sunday,500,0.4043,Success
118,2025-04-28,Expense,368,3593,1148,3776,1403,0.6485,1.1158,4952,1064,5,0.7622,0.9689,0,0.0536,1,2025-04,April,4,2,2025,Monday,2373,1.3114,Success
119,2025-04-29,Asset,2774,4327,253,3363,3191,0.5652,0.6988,2937,3215,9,1.8621,0.8574,0,0.5454,1,2025-04,April,4,2,2025,Tuesday,172,0.8733,Success
120,2025-04-30,Liability,4017,2945,3000,2436,427,0.6895,2.6766,2129,1164,7,1.9617,0.8006,1,0.7995,1,2025-04,April,4,2,2025,Wednesday,2009,0.874,Success
121,2025-05-01,Expense,4537,2375,2908,2608,794,0.3946,2.8597,3232,208,4,1.3581,0.9267,0,0.9058,1,2025-05,May,5,2,2025,Thursday,1814,1.2393,Success
122,2025-05-02,Expense,2909,2841,2897,1338,1176,0.5735,2.4952,721,214,8,1.0038,0.8402,0,0.573,1,2025-05,May,5,2,2025,Friday,162,0.5389,Success
123,2025-05-03,Expense,3745,1226,3968,1659,259,0.3985,1.5981,3386,2699,9,1.755,0.9788,1,0.7439,1,2025-05,May,5,2,2025,Saturday,1400,2.041,Success
124,2025-05-04,Expense,498,984,1730,4007,2503,0.401,2.7477,1451,3014,2,1.6847,0.8305,0,0.0801,1,2025-05,May,5,2,2025,Sunday,1504,0.3621,Success
125,2025-05-05,Expense,342,1287,2277,1329,2441,0.5696,0.9219,1243,234,2,1.1138,0.9279,0,0.0482,1,2025-05,May,5,2,2025,Monday,-1112,0.9353,Success
126,2025-05-06,Liability,3108,1675,430,4768,903,0.7227,2.1628,3923,3108,3,0.9157,0.8794,0,0.6137,0,2025-05,May,5,2,2025,Tuesday,3865,0.8228,Failure
127,2025-05-07,Asset,3740,584,3353,308,3548,0.7453,1.5499,4635,2996,1,1.736,0.9054,0,0.7428,1,2025-05,May,5,2,2025,Wednesday,-3240,15.0487,Success
128,2025-05-08,Revenue,212,3778,1704,1756,380,0.7777,1.8125,1052,1860,2,1.722,0.9111,0,0.0217,0,2025-05,May,5,2,2025,Thursday,1376,0.5991,Failure
129,2025-05-09,Expense,2091,4136,2693,1553,104,0.3732,0.9237,4022,3784,4,1.2374,0.8613,0,0.4058,1,2025-05,May,5,2,2025,Friday,1449,2.5898,Success
130,2025-05-10,Asset,1191,1666,551,2634,611,0.4373,2.9715,2863,3930,4,1.6465,0.9625,0,0.2218,1,2025-05,May,5,2,2025,Saturday,2023,1.0869,Success
131,2025-05-11,Expense,2067,768,637,3049,254,0.4276,2.2597,4207,631,4,1.9173,0.9681,0,0.4009,1,2025-05,May,5,2,2025,Sunday,2795,1.3798,Success
132,2025-05-12,Liability,1658,1690,3798,2019,716,0.7839,0.7303,3104,3199,9,1.1046,0.9273,0,0.3173,1,2025-05,May,5,2,2025,Monday,1303,1.5374,Success
133,2025-05-13,Asset,2959,981,3540,4174,1913,0.2701,2.2341,3747,1101,1,1.8048,0.9844,0,0.5832,1,2025-05,May,5,2,2025,Tuesday,2261,0.8977,Success
134,2025-05-14,Revenue,3117,1329,2675,965,104,0.4214,2.5536,1224,1904,7,1.4759,0.8683,0,0.6155,1,2025-05,May,5,2,2025,Wednesday,861,1.2684,Success
135,2025-05-15,Liability,4709,641,1729,4285,1226,0.561,1.6071,442,3839,8,1.0407,0.8912,0,0.9409,1,2025-05,May,5,2,2025,Thursday,3059,0.1032,Success
136,2025-05-16,Revenue,1720,3560,2149,4818,3179,0.3014,1.0449,3996,1076,4,0.9203,0.9431,0,0.3299,1,2025-05,May,5,2,2025,Friday,1639,0.8294,Success
137,2025-05-17,Revenue,1147,3032,3219,2222,203,0.5416,1.0745,1778,107,2,0.5738,0.9038,0,0.2128,1,2025-05,May,5,2,2025,Saturday,2019,0.8002,Success
138,2025-05-18,Liability,506,2832,1636,347,3371,0.4752,2.6318,4351,1695,5,0.9268,0.8129,0,0.0818,1,2025-05,May,5,2,2025,Sunday,-3024,12.5389,Success
139,2025-05-19,Expense,179,3934,2094,2050,2935,0.7956,1.0197,2588,1956,8,1.0023,0.8861,0,0.0149,1,2025-05,May,5,2,2025,Monday,-885,1.2624,Success
140,2025-05-20,Liability,4626,2430,803,3365,344,0.2226,2.2264,3302,2932,2,0.9283,0.8337,0,0.924,1,2025-05,May,5,2,2025,Tuesday,3021,0.9813,Success
141,2025-05-21,Expense,4369,3924,2050,2556,129,0.5983,1.0655,4533,3658,2,1.9005,0.9593,0,0.8714,1,2025-05,May,5,2,2025,Wednesday,2427,1.7735,Success
142,2025-05-22,Asset,4067,614,2717,2649,2360,0.2284,2.6979,4540,2859,9,0.6575,0.9453,0,0.8097,1,2025-05,May,5,2,2025,Thursday,289,1.7139,Success
143,2025-05-23,Revenue,3756,1405,2780,2201,316,0.6969,2.921,4698,1220,2,0.9825,0.8947,0,0.7461,1,2025-05,May,5,2,2025,Friday,1885,2.1345,Success
144,2025-05-24,Asset,351,734,1904,4813,2526,0.2913,2.022,2176,2239,8,0.5776,0.9777,0,0.0501,1,2025-05,May,5,2,2025,Saturday,2287,0.4521,Success
145,2025-05-25,Liability,3528,1809,3892,4879,2275,0.6402,2.232,3606,2869,7,1.9451,0.9793,0,0.6995,1,2025-05,May,5,2,2025,Sunday,2604,0.7391,Success
